Replace Part BA? beeper_HPA17F in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with beeper_HPA17F from diploma.SchLib
Replace Part C? cap_33pF in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with cap_33pF from diploma.SchLib
Replace Part C? cap_10pF in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with cap_10pF from diploma.SchLib
Replace Part C? cap_33pF in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with cap_33pF from diploma.SchLib
Replace Part C? cap_10pF in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with cap_10pF from diploma.SchLib
Replace Part C? cap_33pF in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with cap_33pF from diploma.SchLib
Replace Part C? cap_10pF in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with cap_10pF from diploma.SchLib
Replace Part DA? PCF8574DGVR in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with PCF8574DGVR from PCF8574DGVR.SchLib
Replace Part DA? PCF8574DGVR in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with PCF8574DGVR from PCF8574DGVR.SchLib
Replace Part DD? ATMEGA32U4RC-AU in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with ATMEGA32U4RC-AU from atmega32u4.SchLib
Replace Part DD? SIM900A in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with SIM900A from diploma.SchLib
Replace Part DD? MAX232CSE+ in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with MAX232CSE+ from max232.SchLib
Replace Part L? inductor_10uH in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with inductor_10uH from diploma.SchLib
Replace Part R? res_47k in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with res_47k from diploma.SchLib
Replace Part R? res_47k in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with res_47k from diploma.SchLib
Replace Part R? res_510 in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with res_510 from diploma.SchLib
Replace Part R? res_22 in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with res_22 from diploma.SchLib
Replace Part R? res_22 in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with res_22 from diploma.SchLib
Replace Part R? res_22 in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with res_22 from diploma.SchLib
Replace Part R? res_47k in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with res_47k from diploma.SchLib
Replace Part R? res_47k in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with res_47k from diploma.SchLib
Replace Part R? res_510 in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with res_510 from diploma.SchLib
Replace Part R? res_47k in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with res_47k from diploma.SchLib
Replace Part R? res_47k in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with res_47k from diploma.SchLib
Replace Part VD? diode_red in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with diode_red from diploma.SchLib
Replace Part VD? diode_red in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with diode_red from diploma.SchLib
Replace Part XS? RS-232 in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with RS-232 from diploma.SchLib
Replace Part XS? temperature_sensors_connector in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with temperature_sensors_connector from diploma.SchLib
Replace Part XS? SIM5051-6-0-18-00-A in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with SIM5051-6-0-18-00-A from sim_connector.SchLib
Replace Part XS? conn_Battery_CR2032 in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with conn_Battery_CR2032 from diploma.SchLib
Replace Part ZQ? crystal_8mhz in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with crystal_8mhz from diploma.SchLib
Replace Part Ñ? cap_pol_1mkF in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with cap_pol_1mkF from diploma.SchLib
Replace Part Ñ? cap_pol_1mkF in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with cap_pol_1mkF from diploma.SchLib
Replace Part Ñ? cap_pol_1mkF in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with cap_pol_1mkF from diploma.SchLib
Replace Part Ñ? cap_pol_1mkF in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with cap_pol_1mkF from diploma.SchLib
Replace Part Ñ? cap_pol_1mkF in D:\0_Institute\DP\MY-MY\altium\Diploma\main.SchDoc with cap_pol_1mkF from diploma.SchLib
